Datetime,J_mm,rain,PB_Q,PB_QC1,PB_QC2,PB_QC3,PET,ET
2014-11-27,3.302,1.0,1.01946416284,0.0,0.0,0.0,0.68075924587,0.503170799654
2014-11-28,0.0,0.0,0.800712743285,0.0,0.0,0.0,0.918448334534,0.678854361115
2014-11-29,0.0,0.0,0.753935710173,0.0,0.0,0.0,0.983751472934,0.727121986664
2014-11-30,0.0,0.0,0.688585443324,0.0,0.0,0.0,1.27013522606,0.938797322613
2014-12-01,0.508,1.0,0.698216008965,0.0,0.0,0.0,1.92608190681,1.4236283666
2014-12-02,8.382,1.0,1.04354057695,0.0,0.0,0.0,0.520346141496,0.38460437475
2014-12-03,2.794,1.0,0.900457887423,0.0,0.0,0.0,0.544988681057,0.402818459115
2014-12-04,0.508,1.0,0.78695479237,0.0,0.0,0.0,0.812875804544,0.600822348096
2014-12-05,0.0,1.0,0.732610886253,0.0,0.0,0.0,0.477387316743,0.352852141733
2014-12-06,10.668,1.0,1.07999914687,0.0,0.0,0.0,0.152778003587,0.112923079195
2014-12-07,2.032,1.0,0.927285891709,0.0,0.0,0.0,1.05452594869,0.779433651581
2014-12-08,0.0,1.0,0.852992956765,0.0,0.0,0.0,0.613200011949,0.453235622185
2014-12-09,16.002,1.0,1.83462275459,0.0,0.0,0.0,0.352748006789,0.260727265519
2014-12-10,1.524,1.0,0.996763543832,0.0,0.0,0.0,1.05811392054,0.782085635636
2014-12-11,0.0,1.0,0.872941985592,0.0,0.0,0.0,0.746143112383,0.551498093917
2014-12-12,0.0,0.0,0.865375112589,0.0,0.0,0.0,0.995991455684,0.736168947018
2014-12-13,0.0,0.0,0.789706382553,0.0,0.0,0.0,0.649337837838,0.479946238105
2014-12-14,0.0,0.0,0.744305144532,0.0,0.0,0.0,0.400275519935,0.295856361363
2014-12-15,1.016,1.0,0.667260619405,0.0,0.0,0.0,0.563006317015,0.416135866624
2014-12-16,6.35,1.0,1.06555329841,0.0,0.0,0.0,0.10395284944,0.0768348556357
2014-12-17,1.778,1.0,0.796585358011,0.0,0.0,0.0,0.714300070358,0.527961889281
2014-12-18,0.0,1.0,0.788330587461,0.0,0.0,0.0,0.928446734799,0.686244496596
2014-12-19,0.0,0.0,0.788330587461,0.0,0.0,0.0,0.688140474882,0.508626500662
2014-12-20,0.0,0.0,0.789706382553,0.0,0.0,0.0,0.509748942327,0.376771647964
2014-12-21,0.0,0.0,0.76906945618,0.0,0.0,0.0,0.68572762595,0.506843087313
2014-12-22,0.762,1.0,0.855056649402,0.0,0.0,0.0,0.233644668517,0.172694201961
2014-12-23,7.112,1.0,0.908024760427,0.0,0.0,0.0,0.0696194279475,0.0514579323664
2014-12-24,23.368,1.0,2.17238044957,0.0,0.0,0.0,0.08238844969,0.0608959222578
2014-12-25,1.27,1.0,1.06486540086,0.0,0.0,0.0,0.816190257897,0.603272165934
2014-12-26,0.508,1.0,0.912840043247,0.0,0.0,0.0,0.741530699083,0.548088912621
2014-12-27,0.762,1.0,0.877069370867,0.0,0.0,0.0,0.967272633141,0.714941952318
2014-12-28,0.0,1.0,0.843362391124,0.0,0.0,0.0,0.657525159144,0.485997747553
2014-12-29,0.0,0.0,0.802776435923,0.0,0.0,0.0,0.825808702877,0.610381464385
2014-12-30,0.0,0.0,0.791082177645,0.0,0.0,0.0,0.740892395717,0.547617122312
2014-12-31,0.0,0.0,0.749808324898,0.0,0.0,0.0,0.612702886111,0.452868180675
2015-01-01,0.0,0.0,0.674139594862,0.0,0.0,0.0,0.840468726288,0.621217153724
2015-01-02,0.0,0.0,0.651438975852,0.0,0.0,0.0,0.749190211766,0.553750301938
2015-01-03,8.128,1.0,0.867438805226,0.0,0.0,0.0,0.266630410466,0.197075012437
2015-01-04,11.938,1.0,1.29943846397,0.0,0.0,0.0,0.62091937556,0.458941249225
2015-01-05,0.0,1.0,0.780763714458,0.0,0.0,0.0,1.03341638145,0.763830899372
