Date,P_mm,Eta-cal_mm,Q_mm
9/6/11,1.64,0.559637666,0.717279212
9/7/11,4.49,0.93595488,0.820492336
9/8/11,0.89,2.036014616,0.934646526
9/9/11,0.19,1.562508316,0.605296229
9/10/11,7.8,1.190662815,0.854186898
9/11/11,0.3,1.345622303,1.134580109
9/12/11,0.9,1.205171536,0.645892438
9/13/11,0.19,0.669617164,0.624503369
9/14/11,0,1.009893776,0.498651727
9/15/11,0.25,0.871540412,0.39703715
9/16/11,0.95,0.793840417,0.366770769
9/17/11,0.11,0.651840358,0.376350064
9/18/11,10.58,1.02095324,0.864812283
9/19/11,2.57,0.748728477,1.317945879
9/20/11,0.02,1.339282239,0.838613435
9/21/11,0.11,1.028476017,0.578901335
9/22/11,0,0.950187422,0.49207932
9/23/11,6.36,1.864020397,0.604740537
9/24/11,19.27,2.666673429,3.456883053
9/25/11,7.83,1.398000596,7.737275858
9/26/11,7.33,1.159621521,3.777312089
9/27/11,1.08,0.675274826,2.424891565
9/28/11,5.35,0.687183046,2.469724412
9/29/11,0,2.129655858,2.39773079
9/30/11,0,1.359761698,1.667461302
10/1/11,0.89,1.333800484,1.392483155
10/2/11,0.02,0.875031465,1.130033803
10/3/11,0.72,1.075895096,1.015268668
10/4/11,24.49,1.431943181,5.1909798
10/5/11,0.83,1.503316842,3.61658339
10/6/11,0.88,1.506522736,2.638145105
10/7/11,0.25,1.165140173,1.939796465
10/8/11,2.14,1.859532632,1.714752488
10/9/11,0.13,1.292154985,1.352254714
10/10/11,0,1.204107594,1.115546356
10/11/11,0,0.867317751,0.965978202
10/12/11,0,0.591920681,0.869287866
10/13/11,0,0.364725585,0.804734071
10/14/11,0,0.304008384,0.82898924
10/15/11,0,0.193542391,0.798408283
10/16/11,0,0.081306528,0.783189985
10/17/11,0,0.083954729,0.713043268
10/18/11,0,0.048886121,0.669279924
10/19/11,0,0.024717939,0.664215246
10/20/11,0,0.025093853,0.625394835
10/21/11,0,0.015483123,0.587914887
10/22/11,0,0.008739256,0.537118444
10/23/11,0,0.002494043,0.539415591
10/24/11,0,0.001719835,0.548093084
10/25/11,0,0.002276397,0.513480697
10/26/11,0,0.001380268,0.486884601
10/27/11,4.49,0.677370205,0.559700975
10/28/11,4.85,0.762899184,0.720114526
10/29/11,6.06,1.03782315,1.015302205
10/30/11,6.42,2.248807609,0.976883501
10/31/11,0.11,1.765908448,1.059837515
11/1/11,0.76,2.191000395,0.70416195
11/2/11,2.9,0.810560024,0.664468945
11/3/11,0.49,1.457028123,0.674917668
11/4/11,0.36,0.91196979,0.590236116
11/5/11,0,0.903923335,0.544622671
11/6/11,0.1,0.552252002,0.50282168
11/7/11,12.87,0.891512992,1.307512299
11/8/11,8.62,1.577098659,2.320369345
11/9/11,10.48,1.582950804,4.59341672
11/10/11,9.68,2.020845623,6.06664668
11/11/11,2.37,1.622874027,5.376342025
11/12/11,1.09,1.465892018,3.298706399
11/13/11,0,1.966517024,1.888309627
11/14/11,0,1.391404781,1.301226895
11/15/11,2.23,0.900644017,1.297623123
11/16/11,0,1.26666816,1.117558426
11/17/11,0,0.868542168,1.088731995
11/18/11,0,0.61400906,1.154652681
